FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2021-12-24,1.2285,1.2285,,,1,3.60,开放申购,开放赎回,,,,
2021-12-23,1.1858,1.1858,,,1,-0.71,开放申购,开放赎回,,,,
2021-12-22,1.1943,1.1943,,,1,3.52,开放申购,开放赎回,,,,
2021-12-21,1.1537,1.1537,,,1,0.48,开放申购,开放赎回,,,,
2021-12-20,1.1482,1.1482,,,1,3.39,开放申购,开放赎回,,,,
2021-12-17,1.1106,1.1106,,,1,0.39,开放申购,开放赎回,,,,
2021-12-16,1.1063,1.1063,,,1,0.24,开放申购,开放赎回,,,,
2021-12-15,1.1036,1.1036,,,1,-0.65,开放申购,开放赎回,,,,
2021-12-14,1.1108,1.1108,,,1,0.17,开放申购,开放赎回,,,,
2021-12-13,1.1089,1.1089,,,1,0.25,开放申购,开放赎回,,,,
2021-12-10,1.1061,1.1061,,,1,-0.69,开放申购,开放赎回,,,,
2021-12-09,1.1138,1.1138,,,1,1.39,开放申购,开放赎回,,,,
2021-12-08,1.0985,1.0985,,,1,0.71,开放申购,开放赎回,,,,
2021-12-07,1.0908,1.0908,,,1,1.00,开放申购,开放赎回,,,,
2021-12-06,1.0800,1.0800,,,1,-0.77,开放申购,开放赎回,,,,
2021-12-03,1.0884,1.0884,,,1,0.75,开放申购,开放赎回,,,,
2021-12-02,1.0803,1.0803,,,1,-0.18,开放申购,开放赎回,,,,
2021-12-01,1.0822,1.0822,,,1,-0.38,开放申购,开放赎回,,,,
2021-11-30,1.0863,1.0863,,,1,0.53,开放申购,开放赎回,,,,
2021-11-29,1.0806,1.0806,,,1,0.05,开放申购,开放赎回,,,,
2021-11-26,1.0801,1.0801,,,1,-0.83,开放申购,开放赎回,,,,
2021-11-25,1.0891,1.0891,,,1,2.53,开放申购,开放赎回,,,,
2021-11-24,1.0622,1.0622,,,1,-0.26,开放申购,开放赎回,,,,
