FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2021-12-24,1.2285,1.2285,,,1,3.60,开放申购,开放赎回,,,,
2021-12-22,1.1943,1.1943,,,1,3.52,开放申购,开放赎回,,,,
2021-12-21,1.1537,1.1537,,,1,0.48,开放申购,开放赎回,,,,
2021-12-20,1.1482,1.1482,,,1,3.39,开放申购,开放赎回,,,,
2021-12-17,1.1106,1.1106,,,1,0.39,开放申购,开放赎回,,,,
2021-12-16,1.1063,1.1063,,,1,0.24,开放申购,开放赎回,,,,
2021-12-14,1.1108,1.1108,,,1,0.17,开放申购,开放赎回,,,,
2021-12-13,1.1089,1.1089,,,1,0.25,开放申购,开放赎回,,,,
2021-12-09,1.1138,1.1138,,,1,1.39,开放申购,开放赎回,,,,
2021-12-08,1.0985,1.0985,,,1,0.71,开放申购,开放赎回,,,,
2021-12-07,1.0908,1.0908,,,1,1.00,开放申购,开放赎回,,,,
2021-12-03,1.0884,1.0884,,,1,0.75,开放申购,开放赎回,,,,
2021-11-30,1.0863,1.0863,,,1,0.53,开放申购,开放赎回,,,,
2021-11-29,1.0806,1.0806,,,1,0.05,开放申购,开放赎回,,,,
2021-11-25,1.0891,1.0891,,,1,2.53,开放申购,开放赎回,,,,
2021-11-23,1.0650,1.0650,,,1,0.34,开放申购,开放赎回,,,,
2021-11-19,1.0632,1.0632,,,1,0.18,开放申购,开放赎回,,,,
2021-11-17,1.0742,1.0742,,,1,0.03,开放申购,开放赎回,,,,
2021-11-16,1.0739,1.0739,,,1,1.50,开放申购,开放赎回,,,,
2021-11-15,1.0580,1.0580,,,1,1.29,开放申购,开放赎回,,,,
2021-11-12,1.0445,1.0445,,,1,0.44,开放申购,开放赎回,,,,
2021-11-10,1.0402,1.0402,,,1,0.52,开放申购,开放赎回,,,,
2021-11-09,1.0348,1.0348,,,1,0.61,开放申购,开放赎回,,,,
2021-11-04,1.0373,1.0373,,,1,0.51,开放申购,开放赎回,,,,
2021-11-03,1.0320,1.0320,,,1,0.35,开放申购,开放赎回,,,,
2021-11-01,1.0430,1.0430,,,1,0.91,开放申购,开放赎回,,,,
2021-10-29,1.0336,1.0336,,,1,1.21,开放申购,开放赎回,,,,
2021-10-25,1.0672,1.0672,,,1,0.10,开放申购,开放赎回,,,,
2021-10-19,1.0820,1.0820,,,1,1.35,开放申购,开放赎回,,,,
2021-10-13,1.0830,1.0830,,,1,2.38,开放申购,开放赎回,,,,
2021-10-08,1.0667,1.0667,,,1,2.18,开放申购,开放赎回,,,,
2021-09-30,1.0439,1.0439,,,1,1.54,开放申购,开放赎回,,,,
2021-09-27,1.0597,1.0597,,,1,0.05,开放申购,开放赎回,,,,
2021-09-23,1.0616,1.0616,,,1,0.44,开放申购,开放赎回,,,,
2021-09-22,1.0570,1.0570,,,1,0.03,开放申购,开放赎回,,,,
2021-09-17,1.0567,1.0567,,,1,0.82,开放申购,开放赎回,,,,
2021-09-13,1.0810,1.0810,,,1,0.30,开放申购,开放赎回,,,,
2021-09-07,1.0895,1.0895,,,1,0.21,开放申购,开放赎回,,,,
2021-09-06,1.0872,1.0872,,,1,3.28,开放申购,开放赎回,,,,
2021-09-03,1.0527,1.0527,,,1,1.18,开放申购,开放赎回,,,,
2021-09-01,1.0491,1.0491,,,1,0.63,开放申购,开放赎回,,,,
2021-08-25,1.0708,1.0708,,,1,1.80,开放申购,开放赎回,,,,
2021-08-24,1.0519,1.0519,,,1,1.18,开放申购,开放赎回,,,,
2021-08-23,1.0396,1.0396,,,1,1.23,开放申购,开放赎回,,,,
2021-08-18,1.0579,1.0579,,,1,0.26,开放申购,开放赎回,,,,
2021-08-16,1.0867,1.0867,,,1,1.03,开放申购,开放赎回,,,,
2021-08-10,1.0952,1.0952,,,1,0.73,开放申购,开放赎回,,,,
2021-08-09,1.0873,1.0873,,,1,1.47,开放申购,开放赎回,,,,
2021-08-03,1.0979,1.0979,,,1,1.57,开放申购,开放赎回,,,,
2021-08-02,1.0809,1.0809,,,1,1.40,开放申购,开放赎回,,,,
2021-07-29,1.0733,1.0733,,,1,1.11,开放申购,开放赎回,,,,
2021-07-28,1.0615,1.0615,,,1,0.06,开放申购,开放赎回,,,,
2021-07-21,1.1881,1.1881,,,1,0.92,开放申购,开放赎回,,,,
2021-07-19,1.1887,1.1887,,,1,4.12,开放申购,开放赎回,,,,
2021-07-16,1.1417,1.1417,,,1,0.39,开放申购,开放赎回,,,,
2021-07-14,1.1401,1.1401,,,1,1.51,开放申购,开放赎回,,,,
2021-07-13,1.1231,1.1231,,,1,0.80,开放申购,开放赎回,,,,
2021-07-12,1.1142,1.1142,,,1,0.13,开放申购,开放赎回,,,,
2021-07-01,1.2030,1.2030,,,1,3.71,开放申购,开放赎回,,,,
2021-06-30,1.1600,1.1600,,,1,1.93,开放申购,开放赎回,,,,
2021-06-29,1.1380,1.1380,,,1,1.03,开放申购,开放赎回,,,,
2021-06-28,1.1264,1.1264,,,1,3.63,开放申购,开放赎回,,,,
2021-06-25,1.0869,1.0869,,,1,0.91,开放申购,开放赎回,,,,
2021-06-23,1.0831,1.0831,,,1,0.33,开放申购,开放赎回,,,,
2021-06-22,1.0795,1.0795,,,1,1.56,开放申购,开放赎回,,,,
2021-06-21,1.0629,1.0629,,,1,1.37,开放申购,开放赎回,,,,
2021-06-18,1.0485,1.0485,,,1,0.32,开放申购,开放赎回,,,,
2021-06-17,1.0452,1.0452,,,1,0.71,开放申购,开放赎回,,,,
2021-06-10,1.0797,1.0797,,,1,0.16,开放申购,开放赎回,,,,
2021-06-09,1.0780,1.0780,,,1,0.26,开放申购,开放赎回,,,,
2021-06-07,1.1076,1.1076,,,1,0.40,开放申购,开放赎回,,,,
2021-06-04,1.1032,1.1032,,,1,0.26,开放申购,开放赎回,,,,
2021-06-03,1.1003,1.1003,,,1,0.54,开放申购,开放赎回,,,,
2021-06-01,1.1070,1.1070,,,1,0.51,开放申购,开放赎回,,,,
2021-05-31,1.1014,1.1014,,,1,1.31,开放申购,开放赎回,,,,
2021-05-27,1.0996,1.0996,,,1,0.56,开放申购,开放赎回,,,,
2021-05-26,1.0935,1.0935,,,1,2.82,开放申购,开放赎回,,,,
2021-05-25,1.0635,1.0635,,,1,2.04,开放申购,开放赎回,,,,
2021-05-20,1.0538,1.0538,,,1,0.01,开放申购,开放赎回,,,,
2021-05-18,1.0598,1.0598,,,1,1.84,开放申购,开放赎回,,,,
2021-05-17,1.0407,1.0407,,,1,0.25,开放申购,开放赎回,,,,
2021-05-14,1.0381,1.0381,,,1,1.24,开放申购,开放赎回,,,,
2021-05-13,1.0254,1.0254,,,1,3.21,开放申购,开放赎回,,,,
2021-05-12,0.9935,0.9935,,,1,1.04,开放申购,开放赎回,,,,
2021-05-11,0.9833,0.9833,,,1,0.99,开放申购,开放赎回,,,,
2021-05-10,0.9737,0.9737,,,1,0.30,开放申购,开放赎回,,,,
2021-04-30,1.0075,1.0075,,,1,1.17,开放申购,开放赎回,,,,
2021-04-29,0.9958,0.9958,,,1,0.26,开放申购,开放赎回,,,,
2021-04-28,0.9932,0.9932,,,1,0.78,开放申购,开放赎回,,,,
2021-04-27,0.9855,0.9855,,,1,1.24,开放申购,开放赎回,,,,
2021-04-23,0.9821,0.9821,,,1,0.14,开放申购,开放赎回,,,,
2021-04-21,0.9832,0.9832,,,1,1.73,开放申购,开放赎回,,,,
2021-04-19,0.9665,0.9665,,,1,1.12,开放申购,开放赎回,,,,
2021-04-16,0.9558,0.9558,,,1,1.15,开放申购,开放赎回,,,,
2021-04-15,0.9449,0.9449,,,1,0.08,开放申购,开放赎回,,,,
2021-04-14,0.9441,0.9441,,,1,0.79,开放申购,开放赎回,,,,
2021-04-08,0.9571,0.9571,,,1,0.39,开放申购,开放赎回,,,,
2021-04-07,0.9534,0.9534,,,1,0.51,开放申购,开放赎回,,,,
2021-04-02,0.9526,0.9526,,,1,0.50,开放申购,开放赎回,,,,
2021-04-01,0.9479,0.9479,,,1,0.62,开放申购,开放赎回,,,,
